Traditional,Simplified,Pinyin,Frequency,Notes
錒,锕,a,0,3
藹,蔼,ai,2,3
愛,爱,ai,2,2
礙,碍,ai,2,1
捱,挨,ai,2,8
皚,皑,ai,0,3
靄,霭,ai,0,3
曖,暧,ai,0,3
騃,呆,ai,0,4
嬡,嫒,ai,0,3
璦,瑷,ai,0,3
鎄,锿,ai,0,3
噯,嗳,ai,0,3
菴,庵,an,1,4
鵪,鹌,an,0,3
闇,暗,an,0,4
銨,铵,an,0,3
諳,谙,an,0,3
骯,肮,ang,2,1
奧,奥,ao,2,7
襖,袄,ao,1,1
嶴,岙,ao,0,8
驁,骜,ao,0,3
鼇,鳌,ao,0,4
媼,媪,ao,0,7
罷,罢,ba,2,2
壩,坝,ba,1,1
鈀,钯,ba,0,3
䰾,鲃,ba,0,5
擺,摆,bai,2,3
敗,败,bai,2,3
唄,呗,bai,0,3
辦,办,ban,2,1
頒,颁,ban,2,3
闆,板,ban,2,1
絆,绊,ban,2,3
鈑,钣,ban,0,5
綁,绑,bang,2,3
幫,帮,bang,2,1
謗,谤,bang,1,3
鎊,镑,bang,0,3
鮑,鲍,bao,2,3
報,报,bao,2,1
寶,宝,bao,2,1
飽,饱,bao,2,3
鉋,刨,bao,1,4
鴇,鸨,bao,0,3
備,备,bei,2,2
輩,辈,bei,2,3
貝,贝,bei,2,2
狽,狈,bei,2,3
盃,杯,bei,1,4
憊,惫,bei,1,3
揹,背,bei,1,4
鋇,钡,bei,0,3
鵯,鹎,bei,0,5
錛,锛,ben,0,3
繃,绷,beng,1,3
鏰,镚,beng,0,3
筆,笔,bi,2,2
畢,毕,bi,2,2
閉,闭,bi,2,3
痺,痹,bi,2,4
幣,币,bi,2,1
斃,毙,bi,2,1
篳,筚,bi,0,3
贔,赑,bi,0,5
賁,贲,bi,0,3
嗶,哔,bi,0,3
鰏,鲾,bi,0,5
鉍,铋,bi,0,3
詖,诐,bi,0,5
蹕,跸,bi,0,3
蓽,荜,bi,0,3
編,编,bian,2,3
辯,辩,bian,2,3
變,变,bian,2,3
邊,边,bian,2,2
辮,辫,bian,2,3
貶,贬,bian,2,3
鯿,鳊,bian,0,3
籩,笾,bian,0,3
緶,缏,bian,0,5
標,标,biao,2,1
錶,表,biao,2,1
鑣,镳,biao,0,3
飆,飙,biao,0,3
颮,飑,biao,0,5
鰾,鳔,biao,0,3
鏢,镖,biao,0,3
別,别,bie,2,7
彆,别,bie,1,1
鼈,鳖,bie,1,4
鱉,鳖,bie,1,3
癟,瘪,bie,0,3
殯,殡,bin,2,3
繽,缤,bin,2,3
濱,滨,bin,2,3
賓,宾,bin,2,2
瀕,濒,bin,2,3
鬢,鬓,bin,1,3
檳,槟,bin,0,3
鑌,镔,bin,0,3
髕,髌,bin,0,3
擯,摈,bin,0,3
儐,傧,bin,0,3
臏,膑,bin,0,3
並,并,bing,2,4
併,并,bing,2,4
餅,饼,bing,2,3
稟,禀,bing,1,4
蔔,卜,bo,2,1
撥,拨,bo,2,3
剝,剥,bo,2,7
駁,驳,bo,2,3
鵓,鹁,bo,0,3
餑,饽,bo,0,3
鎛,镈,bo,0,5
鮊,鲌,bo,0,5
鮁,鲅,bo,0,3
缽,钵,bo,0,3
鈸,钹,bo,0,3
蘗,檗,bo,0,8
鉑,铂,bo,0,3
襏,袯,bo,0,5
佈,布,bu,2,4
補,补,bu,2,1
鈽,钸,bu,0,5
綵,彩,cai,2,4
採,采,cai,2,4
財,财,cai,2,3
慘,惨,can,2,3
慚,惭,can,2,3
殘,残,can,2,3
燦,灿,can,2,1
蠶,蚕,can,2,1
參,参,can,2,2
叄,叁,can,0,7
驂,骖,can,0,3
滄,沧,cang,2,3
倉,仓,cang,2,2
艙,舱,cang,2,3
蒼,苍,cang,2,3
傖,伧,cang,0,3
測,测,ce,2,3
廁,厕,ce,2,3
側,侧,ce,2,3
冊,册,ce,2,4
厠,厕,ce,0,5
惻,恻,ce,0,3
層,层,ceng,2,1
剎,刹,cha,2,7
詫,诧,cha,2,3
餷,馇,cha,0,3
鍤,锸,cha,0,3
鑔,镲,cha,0,3
奼,姹,cha,0,7
蠆,虿,chai,0,3
儕,侪,chai,0,3
釵,钗,chai,0,3
纏,缠,chan,2,1
鏟,铲,chan,2,3
產,产,chan,2,2
蟬,蝉,chan,2,3
剷,铲,chan,1,4
攙,搀,chan,1,1
闡,阐,chan,1,3
饞,馋,chan,1,1
驏,骣,chan,0,5
懺,忏,chan,0,1
鑱,镵,chan,0,5
囅,冁,chan,0,3
諂,谄,chan,0,3
蕆,蒇,chan,0,3
禪,禅,chan,0,3
嬋,婵,chan,0,3
讒,谗,chan,0,1
滻,浐,chan,0,3
腸,肠,chang,2,3
長,长,chang,2,2
償,偿,chang,2,1
場,场,chang,2,3
暢,畅,chang,2,3
嘗,尝,chang,2,2
嚐,尝,chang,2,4
廠,厂,chang,2,1
閶,阊,chang,0,3
萇,苌,chang,0,5
倀,伥,chang,0,3
鯧,鲳,chang,0,3
悵,怅,chang,0,3
鈔,钞,chao,2,3
徹,彻,che,2,1
車,车,che,2,2
轍,辙,che,1,3
硨,砗,che,0,3
襯,衬,chen,2,1
塵,尘,chen,2,1
陳,陈,chen,2,3
沈,沈,chen,1,9
沈,沉,chen,1,8
縝,缜,chen,0,3
諶,谌,chen,0,3
齔,龀,chen,0,3
磣,碜,chen,0,3
讖,谶,chen,0,3
櫬,榇,chen,0,3
懲,惩,cheng,2,1
稱,称,cheng,2,1
撐,撑,cheng,2,4
誠,诚,cheng,2,3
湞,浈,cheng,0,3
蟶,蛏,cheng,0,3
赬,赪,cheng,0,3
棖,枨,cheng,0,3
檉,柽,cheng,0,3
騁,骋,cheng,0,3
呎,尺,chi,2,8
遲,迟,chi,2,1
熾,炽,chi,2,3
馳,驰,chi,2,3
恥,耻,chi,2,4
齒,齿,chi,2,2
喫,吃,chi,0,4
癡,痴,chi,0,4
鴟,鸱,chi,0,3
飭,饬,chi,0,3
蟲,虫,chong,2,2
衝,冲,chong,2,1
沖,冲,chong,2,7
寵,宠,chong,2,3
銃,铳,chong,0,3
籌,筹,chou,2,3
醜,丑,chou,2,1
綢,绸,chou,2,3
疇,畴,chou,1,3
幬,帱,chou,0,5
讎,雠,chou,0,3
儔,俦,chou,0,3
躊,踌,chou,0,3
儲,储,chu,2,3
處,处,chu,2,1
礎,础,chu,2,1
廚,厨,chu,2,4
鋤,锄,chu,2,3
櫥,橱,chu,2,4
觸,触,chu,2,1
雛,雏,chu,2,3
齣,出,chu,1,1
芻,刍,chu,0,2
躕,蹰,chu,0,4
絀,绌,chu,0,3
傳,传,chuan,2,3
釧,钏,chuan,0,3
牀,床,chuang,2,4
創,创,chuang,2,3
闖,闯,chuang,2,3
瘡,疮,chuang,2,3
戧,戗,chuang,0,3
愴,怆,chuang,0,3
錘,锤,chui,1,3
搥,捶,chui,0,4
鎚,锤,chui,0,4
脣,唇,chun,2,4
純,纯,chun,2,3
蒓,莼,chun,0,3
鶉,鹑,chun,0,3
輟,辍,chuo,2,3
綽,绰,chuo,2,3
齪,龊,chuo,0,3
詞,词,ci,2,3
辭,辞,ci,2,1
賜,赐,ci,2,3
薺,荠,ci,0,3
聰,聪,cong,2,1
從,从,cong,2,2
叢,丛,cong,2,1
蔥,葱,cong,1,4
囪,囱,cong,1,7
蓯,苁,cong,0,3
驄,骢,cong,0,3
樅,枞,cong,0,3
湊,凑,cou,2,4
輳,辏,cou,0,3
麤,粗,cu,0,4
竄,窜,cuan,2,2
鑹,镩,cuan,0,3
躥,蹿,cuan,0,3
攛,撺,cuan,0,3
吋,寸,cun,2,8
邨,村,cun,1,4
錯,错,cuo,2,3
銼,锉,cuo,1,3
達,达,da,2,2
韃,鞑,da,0,3
薘,荙,da,0,5
墶,垯,da,0,5
貸,贷,dai,2,3
帶,带,dai,2,2
膽,胆,dan,2,1
誕,诞,dan,2,3
擔,担,dan,2,1
單,单,dan,2,2
彈,弹,dan,2,3
躭,耽,dan,1,4
憚,惮,dan,0,3
撣,掸,dan,0,3
癉,瘅,dan,0,3
鉭,钽,dan,0,3
簞,箪,dan,0,3
殫,殚,dan,0,3
鄲,郸,dan,0,3
盪,荡,dang,2,4
當,当,dang,2,2
檔,档,dang,2,3
黨,党,dang,2,2
擋,挡,dang,2,3
蕩,荡,dang,2,3
鐺,铛,dang,1,3
襠,裆,dang,1,3
噹,当,dang,1,2
壋,垱,dang,0,5
讜,谠,dang,0,3
簹,筜,dang,0,5
氹,凼,dang,0,8
璫,珰,dang,0,5
碭,砀,dang,0,3
攩,挡,dang,0,4
搗,捣,dao,2,3
島,岛,dao,2,3
導,导,dao,2,1
禱,祷,dao,2,3
盜,盗,dao,2,7
燾,焘,dao,0,3
魛,鱽,dao,0,3
擣,捣,dao,0,4
鍀,锝,de,0,3
燈,灯,deng,2,1
鄧,邓,deng,1,1
鐙,镫,deng,0,3
滌,涤,di,2,3
締,缔,di,2,3
遞,递,di,2,1
敵,敌,di,2,1
牴,抵,di,1,4
鏑,镝,di,0,3
糴,籴,di,0,1
覿,觌,di,0,3
軑,轪,di,0,5
諦,谛,di,0,3
詆,诋,di,0,3
澱,淀,dian,2,1
點,点,dian,2,1
電,电,dian,2,1
墊,垫,dian,2,3
顛,颠,dian,2,3
癲,癫,dian,0,3
巔,巅,dian,0,3
鈿,钿,dian,0,3
調,调,diao,2,3
弔,吊,diao,2,4
釣,钓,diao,2,3
鵰,雕,diao,1,4
彫,雕,diao,1,4
銱,铞,diao,0,3
鯛,鲷,diao,0,3
疊,叠,die,2,4
諜,谍,die,2,3
鰈,鲽,die,0,3
釘,钉,ding,2,3
頂,顶,ding,2,3
訂,订,ding,2,3
錠,锭,ding,1,3
丟,丢,diu,2,7
銩,铥,diu,0,3
棟,栋,dong,2,3
凍,冻,dong,2,3
動,动,dong,2,2
東,东,dong,2,2
鼕,冬,dong,1,1
鶇,鸫,dong,0,3
腖,胨,dong,0,3
鬥,斗,dou,2,1
竇,窦,dou,0,3
荳,豆,dou,0,4
鈄,钭,dou,0,3
讀,读,du,2,3
獨,独,du,2,1
賭,赌,du,2,3
牘,牍,du,1,3
鍍,镀,du,1,3
黷,黩,du,0,3
犢,犊,du,0,3
瀆,渎,du,0,3
篤,笃,du,0,3
闍,阇,du,0,5
櫝,椟,du,0,3
鍛,锻,duan,2,3
斷,断,duan,2,2
緞,缎,duan,1,3
對,对,dui,2,2
隊,队,dui,2,2
兌,兑,dui,1,7
懟,怼,dui,0,3
鐓,镦,dui,0,3
鈍,钝,dun,2,3
噸,吨,dun,2,1
頓,顿,dun,2,3
躉,趸,dun,0,3
燉,炖,dun,0,8
墮,堕,duo,2,1
奪,夺,duo,2,1
飿,饳,duo,0,3
綞,缍,duo,0,5
嚲,亸,duo,0,5
鐸,铎,duo,0,3
惡,恶,e,2,3
額,额,e,2,3
鱷,鳄,e,2,4
鵝,鹅,e,2,3
餓,饿,e,2,3
訛,讹,e,1,3
阨,厄,e,0,4
鶚,鹗,e,0,3
噁,恶,e,0,3
堊,垩,e,0,3
軛,轭,e,0,3
顎,颚,e,0,5
鍔,锷,e,0,3
諤,谔,e,0,3
閼,阏,e,0,3
爾,尔,er,2,2
貳,贰,er,2,3
兒,儿,er,2,1
餌,饵,er,1,3
鉺,铒,er,0,3
邇,迩,er,0,3
鴯,鸸,er,0,3
罰,罚,fa,2,3
發,发,fa,2,2
髮,发,fa,2,2
閥,阀,fa,1,3
琺,珐,fa,0,4
氾,泛,fan,2,4
飯,饭,fan,2,3
販,贩,fan,2,3
煩,烦,fan,2,3
範,范,fan,2,1
礬,矾,fan,1,1
汎,泛,fan,0,4
釩,钒,fan,0,3
訪,访,fang,2,3
紡,纺,fang,2,3
倣,仿,fang,1,4
魴,鲂,fang,0,3
鈁,钫,fang,0,3
鰟,鳑,fang,0,3
廢,废,fei,2,3
飛,飞,fei,2,1
費,费,fei,2,3
緋,绯,fei,0,3
鐨,镄,fei,0,3
鯡,鲱,fei,0,3
誹,诽,fei,0,3
憤,愤,fen,2,3
糞,粪,fen,2,1
紛,纷,fen,2,3
份,份,fen,2,9
份,分,fen,2,8
墳,坟,fen,2,1
奮,奋,fen,2,1
鱝,鲼,fen,0,5
僨,偾,fen,0,3
風,风,feng,2,2
鳳,凤,feng,2,1
豐,丰,feng,2,2
諷,讽,feng,2,3
峯,峰,feng,2,4
鋒,锋,feng,2,3
楓,枫,feng,2,3
縫,缝,feng,2,3
瘋,疯,feng,2,3
馮,冯,feng,1,3
碸,砜,feng,0,3
灃,沣,feng,0,3
渢,沨,feng,0,3
復,复,fu,2,1
輻,辐,fu,2,3
撫,抚,fu,2,3
負,负,fu,2,3
彿,佛,fu,2,4
膚,肤,fu,2,1
縛,缚,fu,2,3
婦,妇,fu,2,1
輔,辅,fu,2,3
賦,赋,fu,2,3
複,复,fu,2,1
伕,夫,fu,1,8
麩,麸,fu,1,3
紱,绂,fu,0,3
鳧,凫,fu,0,3
頫,俯,fu,0,4
韍,韨,fu,0,3
訃,讣,fu,0,3
鮒,鲋,fu,0,3
駙,驸,fu,0,3
賻,赙,fu,0,3
嘸,呒,fu,0,3
紼,绋,fu,0,3
鰒,鳆,fu,0,3
釓,钆,ga,0,3
該,该,gai,2,3
蓋,盖,gai,2,1
鈣,钙,gai,2,3
賅,赅,gai,0,3
榦,干,gan,2,4
桿,杆,gan,2,4
幹,干,gan,2,1
趕,赶,gan,2,1
乾,乾,gan,2,9
乾,干,gan,2,1
稈,秆,gan,1,4
鱤,鳡,gan,0,5
尷,尴,gan,0,3
紺,绀,gan,0,3
贛,赣,gan,0,3
槓,杠,gang,2,4
綱,纲,gang,2,3
岡,冈,gang,2,2
鋼,钢,gang,2,3
剛,刚,gang,2,3
崗,岗,gang,1,3
戇,戆,gang,0,3
鋯,锆,gao,0,3
誥,诰,gao,0,3
縞,缟,gao,0,3
擱,搁,ge,2,3
閣,阁,ge,2,3
個,个,ge,2,1
鴿,鸽,ge,2,3
閤,合,ge,1,1
鉻,铬,ge,0,3
鎘,镉,ge,0,3
箇,个,ge,0,4
給,给,gei,2,3
亙,亘,gen,0,4
綆,绠,geng,0,3
賡,赓,geng,0,3
鯁,鲠,geng,0,3
鞏,巩,gong,2,1
貢,贡,gong,2,3
宮,宫,gong,2,7
龔,龚,gong,0,3
夠,够,gou,2,4
鈎,钩,gou,2,5
構,构,gou,2,1
購,购,gou,2,1
溝,沟,gou,2,1
鉤,钩,gou,1,3
覯,觏,gou,0,3
緱,缑,gou,0,3
搆,构,gou,0,4
詬,诟,gou,0,3
穀,谷,gu,2,1
顧,顾,gu,2,1
僱,雇,gu,2,4
轂,毂,gu,0,3
鴣,鸪,gu,0,3
鯝,鲴,gu,0,5
蠱,蛊,gu,0,3
鶻,鹘,gu,0,3
餶,馉,gu,0,3
鈷,钴,gu,0,3
詁,诂,gu,0,3
錮,锢,gu,0,3
掛,挂,gua,2,4
蝸,蜗,gua,2,3
颳,刮,gua,1,1
鴰,鸹,gua,0,3
詿,诖,gua,0,3
腡,脶,gua,0,3
剮,剐,gua,0,3
枴,拐,guai,2,7
柺,拐,guai,0,4
館,馆,guan,2,3
貫,贯,guan,2,3
觀,观,guan,2,1
慣,惯,guan,2,3
關,关,guan,2,1
䲘,鳤,guan,0,5
鸛,鹳,guan,0,3
鰥,鳏,guan,0,3
摜,掼,guan,0,3
廣,广,guang,2,2
獷,犷,guang,0,3
櫃,柜,gui,2,1
軌,轨,gui,2,3
規,规,gui,2,3
貴,贵,gui,2,3
詭,诡,gui,2,3
龜,龟,gui,2,2
歸,归,gui,2,2
閨,闺,gui,1,3
溈,沩,gui,0,3
鮭,鲑,gui,0,3
匱,匮,gui,0,3
劌,刿,gui,0,3
媯,妫,gui,0,3
匭,匦,gui,0,3
劊,刽,gui,0,3
鱖,鳜,gui,0,3
檜,桧,gui,0,3
滾,滚,gun,2,7
輥,辊,gun,0,3
袞,衮,gun,0,7
鯀,鲧,gun,0,3
緄,绲,gun,0,3
鍋,锅,guo,2,3
過,过,guo,2,2
國,国,guo,2,2
蟈,蝈,guo,0,3
餜,馃,guo,0,3
幗,帼,guo,0,3
堝,埚,guo,0,3
槨,椁,guo,0,4
摑,掴,guo,0,3
錁,锞,guo,0,3
鉿,铪,ha,0,3
駭,骇,hai,2,3
頦,颏,hai,0,3
漢,汉,han,2,1
韓,韩,han,1,3
扞,捍,han,0,4
銲,焊,han,0,4
頇,顸,han,0,3
頷,颔,han,0,3
歛,敛,han,0,4
頏,颃,hang,0,3
蠔,蚝,hao,2,4
號,号,hao,2,1
顥,颢,hao,0,3
鎬,镐,hao,0,3
灝,灏,hao,0,3
鶴,鹤,he,2,3
賀,贺,he,2,3
闔,阖,he,0,3
齕,龁,he,0,5
閡,阂,he,0,3
訶,诃,he,0,3
頜,颌,he,0,3
紇,纥,he,0,3
龢,和,he,0,4
恆,恒,heng,2,4
橫,横,heng,2,7
黌,黉,heng,0,3
絎,绗,heng,0,3
鴴,鸻,heng,0,3
紅,红,hong,2,3
轟,轰,hong,2,1
鬨,哄,hong,1,4
鴻,鸿,hong,1,3
嗊,唝,hong,0,3
葒,荭,hong,0,3
閎,闳,hong,0,5
訌,讧,hong,0,3
後,后,hou,2,1
餱,糇,hou,0,4
鱟,鲎,hou,0,3
壺,壶,hu,2,1
鬍,胡,hu,2,1
護,护,hu,2,1
滬,沪,hu,1,1
戶,户,hu,1,7
滸,浒,hu,0,3
沍,冱,hu,0,7
餬,糊,hu,0,4
鵠,鹄,hu,0,3
軤,轷,hu,0,3
鶘,鹕,hu,0,3
話,话,hua,2,3
畫,画,hua,2,2
畫,划,hua,2,8
華,华,hua,2,2
嘩,哗,hua,2,3
劃,划,hua,2,1
譁,哗,hua,1,4
樺,桦,hua,1,3
嫿,婳,hua,0,3
鏵,铧,hua,0,3
驊,骅,hua,0,3
懷,怀,huai,2,1
壞,坏,huai,2,1
煥,焕,huan,2,7
歡,欢,huan,2,1
換,换,huan,2,7
還,还,huan,2,1
緩,缓,huan,2,3
瘓,痪,huan,2,7
環,环,huan,2,1
喚,唤,huan,2,7
渙,涣,huan,1,7
奐,奂,huan,0,7
繯,缳,huan,0,3
鍰,锾,huan,0,3
黃,黄,huang,2,7
謊,谎,huang,2,3
鍠,锽,huang,0,5
鰉,鳇,huang,0,3
毀,毁,hui,2,7
繪,绘,hui,2,3
輝,辉,hui,2,3
誨,诲,hui,2,3
匯,汇,hui,2,2
會,会,hui,2,2
賄,贿,hui,2,3
迴,回,hui,2,1
穢,秽,hui,2,3
揮,挥,hui,2,3
燬,毁,hui,1,4
彙,汇,hui,1,2
諱,讳,hui,1,3
翬,翚,hui,0,3
燴,烩,hui,0,3
褘,袆,hui,0,5
薈,荟,hui,0,3
翽,翙,hui,0,5
詼,诙,hui,0,3
譭,毁,hui,0,4
暉,晖,hui,0,5
煇,辉,hui,0,4
渾,浑,hun,2,3
葷,荤,hun,1,3
餛,馄,hun,0,3
閽,阍,hun,0,3
諢,诨,hun,0,3
琿,珲,hun,0,3
夥,伙,huo,2,1
夥,夥,huo,2,9
穫,获,huo,2,1
貨,货,huo,2,3
獲,获,huo,2,1
禍,祸,huo,2,3
鑊,镬,huo,0,3
鸌,鹱,huo,0,5
鍃,锪,huo,0,5
鈥,钬,huo,0,3
擊,击,ji,2,1
劑,剂,ji,2,3
計,计,ji,2,3
緝,缉,ji,2,3
雞,鸡,ji,2,1
繼,继,ji,2,1
跡,迹,ji,2,4
擠,挤,ji,2,3
極,极,ji,2,1
績,绩,ji,2,3
記,记,ji,2,3
羈,羁,ji,2,3
積,积,ji,2,1
濟,济,ji,2,3
輯,辑,ji,2,3
際,际,ji,2,1
機,机,ji,2,3
級,级,ji,2,3
紀,纪,ji,2,3
幾,几,ji,2,2
饑,饥,ji,2,3
嘰,叽,ji,1,3
飢,饥,ji,1,5
鯽,鲫,ji,1,3
譏,讥,ji,1,3
蟣,虮,ji,0,3
蹟,迹,ji,0,4
霽,霁,ji,0,3
薊,蓟,ji,0,3
覬,觊,ji,0,3
璣,玑,ji,0,3
魢,鱾,ji,0,5
鶺,鹡,ji,0,3
驥,骥,ji,0,3
鱭,鲚,ji,0,3
齏,齑,ji,0,3
躋,跻,ji,0,3
賫,赍,ji,0,3
磯,矶,ji,0,3
茍,苟,ji,0,7
傢,家,jia,2,1
夾,夹,jia,2,2
頰,颊,jia,2,3
駕,驾,jia,2,3
價,价,jia,2,1
賈,贾,jia,1,3
莢,荚,jia,1,3
鉀,钾,jia,1,3
郟,郏,jia,0,3
蛺,蛱,jia,0,3
鋏,铗,jia,0,3
鎵,镓,jia,0,3
餄,饸,jia,0,3
檟,槚,jia,0,3
浹,浃,jia,0,3
鑑,鉴,jian,2,4
艦,舰,jian,2,1
殲,歼,jian,2,1
監,监,jian,2,2
簡,简,jian,2,3
揀,拣,jian,2,1
濺,溅,jian,2,3
檢,检,jian,2,3
儉,俭,jian,2,3
漸,渐,jian,2,3
減,减,jian,2,4
賤,贱,jian,2,3
堅,坚,jian,2,3
薦,荐,jian,2,2
踐,践,jian,2,3
鑒,鉴,jian,2,3
鍵,键,jian,2,3
艱,艰,jian,2,1
劍,剑,jian,2,3
見,见,jian,2,2
間,间,jian,2,3
撿,捡,jian,2,3
繭,茧,jian,1,1
鹼,碱,jian,1,8
鹼,硷,jian,1,1
澗,涧,jian,1,3
姦,奸,jian,1,4
縑,缣,jian,0,3
檻,槛,jian,0,3
緘,缄,jian,0,3
箋,笺,jian,0,3
諫,谏,jian,0,3
韉,鞯,jian,0,3
鐧,锏,jian,0,3
譾,谫,jian,0,3
餞,饯,jian,0,3
梘,枧,jian,0,3
鶼,鹣,jian,0,3
戔,戋,jian,0,2
戩,戬,jian,0,7
鰹,鲣,jian,0,3
襇,裥,jian,0,3
筧,笕,jian,0,3
瞼,睑,jian,0,3
講,讲,jiang,2,1
將,将,jiang,2,2
醬,酱,jiang,2,1
漿,浆,jiang,2,1
薑,姜,jiang,2,1
獎,奖,jiang,2,1
韁,缰,jiang,1,4
槳,桨,jiang,1,1
蔣,蒋,jiang,1,3
鱂,鳉,jiang,0,5
殭,僵,jiang,0,4
絳,绛,jiang,0,3
驕,骄,jiao,2,3
攪,搅,jiao,2,3
僥,侥,jiao,2,3
轎,轿,jiao,2,3
繳,缴,jiao,2,3
澆,浇,jiao,2,3
膠,胶,jiao,2,1
矯,矫,jiao,2,3
餃,饺,jiao,2,3
腳,脚,jiao,2,4
嬌,娇,jiao,2,3
較,较,jiao,2,3
絞,绞,jiao,1,3
勦,剿,jiao,1,4
嶠,峤,jiao,0,3
鮫,鲛,jiao,0,3
撟,挢,jiao,0,3
鉸,铰,jiao,0,3
鷦,鹪,jiao,0,3
誡,诫,jie,2,3
藉,藉,jie,2,9
藉,借,jie,2,1
節,节,jie,2,2
階,阶,jie,2,1
潔,洁,jie,2,1
屆,届,jie,2,4
結,结,jie,2,3
傑,杰,jie,2,4
詰,诘,jie,0,3
櫛,栉,jie,0,3
頡,颉,jie,0,3
癤,疖,jie,0,1
訐,讦,jie,0,3
勁,劲,jin,2,3
緊,紧,jin,2,3
進,进,jin,2,2
儘,尽,jin,2,2
謹,谨,jin,2,3
盡,尽,jin,2,2
僅,仅,jin,2,1
晉,晋,jin,2,4
錦,锦,jin,2,3
燼,烬,jin,0,3
藎,荩,jin,0,3
饉,馑,jin,0,3
觔,筋,jin,0,4
贐,赆,jin,0,3
縉,缙,jin,0,3
璡,琎,jin,0,3
覲,觐,jin,0,3
驚,惊,jing,2,1
荊,荆,jing,2,7
頸,颈,jing,2,3
鏡,镜,jing,2,3
競,竞,jing,2,1
淨,净,jing,2,4
徑,径,jing,2,3
鯨,鲸,jing,2,3
莖,茎,jing,2,3
靜,静,jing,2,7
經,经,jing,2,3
痙,痉,jing,2,3
逕,径,jing,1,4
脛,胫,jing,0,3
涇,泾,jing,0,3
靚,靓,jing,0,3
剄,刭,jing,0,3
烴,烃,jing,0,3
舊,旧,jiu,2,1
糾,纠,jiu,2,3
鳩,鸠,jiu,1,3
廄,厩,jiu,0,7
鷲,鹫,jiu,0,3
鬮,阄,jiu,0,3
颶,飓,ju,2,3
俱,具,ju,2,8
俱,俱,ju,2,9
據,据,ju,2,1
懼,惧,ju,2,1
劇,剧,ju,2,1
舉,举,ju,2,2
鋸,锯,ju,2,3
跼,局,ju,1,4
駒,驹,ju,1,3
侷,局,ju,0,4
齟,龃,ju,0,3
屨,屦,ju,0,3
櫸,榉,ju,0,3
詎,讵,ju,0,3
鋦,锔,ju,0,3
窶,窭,ju,0,3
鉅,巨,ju,0,4
絹,绢,juan,2,3
鵑,鹃,juan,2,3
捲,卷,juan,2,1
錈,锩,juan,0,5
鐫,镌,juan,0,3
訣,诀,jue,2,3
決,决,jue,2,4
絕,绝,jue,2,3
覺,觉,jue,2,3
玨,珏,jue,0,7
譎,谲,jue,0,3
鐝,镢,jue,0,3
軍,军,jun,2,3
駿,骏,jun,1,3
鈞,钧,jun,1,3
鮶,鲪,jun,0,5
濬,浚,jun,0,4
皸,皲,jun,0,3
雋,隽,jun,0,4
開,开,kai,2,1
凱,凯,kai,2,3
塏,垲,kai,0,3
愾,忾,kai,0,3
鎧,铠,kai,0,3
鐦,锎,kai,0,3
剴,剀,kai,0,3
闓,闿,kai,0,3
鍇,锴,kai,0,3
愷,恺,kai,0,3
龕,龛,kan,0,3
闞,阚,kan,0,3
摃,扛,kang,0,4
鈧,钪,kang,0,3
閌,闶,kang,0,5
銬,铐,kao,1,3
顆,颗,ke,2,3
課,课,ke,2,3
殼,壳,ke,2,2
剋,克,ke,1,1
騍,骒,ke,0,3
緙,缂,ke,0,3
軻,轲,ke,0,3
懇,恳,ken,2,1
墾,垦,ken,2,1
齦,龈,ken,0,3
硜,硁,keng,0,5
鏗,铿,keng,0,3
釦,扣,kou,1,4
摳,抠,kou,0,3
庫,库,ku,2,3
褲,裤,ku,2,3
軲,轱,ku,0,3
絝,绔,ku,0,3
嚳,喾,ku,0,3
誇,夸,kua,2,1
塊,块,kuai,2,1
澮,浍,kuai,0,3
鄶,郐,kuai,0,3
獪,狯,kuai,0,3
鱠,鲙,kuai,0,3
膾,脍,kuai,0,3
噲,哙,kuai,0,3
儈,侩,kuai,0,3
寬,宽,kuan,2,3
髖,髋,kuan,0,3
況,况,kuang,2,4
曠,旷,kuang,2,3
礦,矿,kuang,2,3
纊,纩,kuang,0,3
誑,诳,kuang,0,3
鄺,邝,kuang,0,3
壙,圹,kuang,0,3
誆,诓,kuang,0,3
貺,贶,kuang,0,3
潰,溃,kui,2,3
虧,亏,kui,2,1
窺,窥,kui,1,3
簣,篑,kui,0,3
聵,聩,kui,0,3
巋,岿,kui,0,3
餽,馈,kui,0,4
憒,愦,kui,0,3
蕢,蒉,kui,0,3
饋,馈,kui,0,3
騤,骙,kui,0,5
崑,昆,kun,1,4
綑,捆,kun,1,4
睏,困,kun,1,1
褌,裈,kun,0,5
錕,锟,kun,0,3
鯤,鲲,kun,0,3
梱,阃,kun,0,5
擴,扩,kuo,2,3
闊,阔,kuo,2,3
臘,腊,la,2,1
蠟,蜡,la,2,1
鑞,镴,la,0,3
賴,赖,lai,2,3
來,来,lai,2,2
癩,癞,lai,1,3
萊,莱,lai,1,3
棶,梾,lai,0,5
賚,赉,lai,0,3
徠,徕,lai,0,3
睞,睐,lai,0,3
崍,崃,lai,0,3
瀨,濑,lai,0,3
淶,涞,lai,0,3
錸,铼,lai,0,3
籟,籁,lai,0,3
爛,烂,lan,2,1
攬,揽,lan,2,3
纜,缆,lan,2,3
濫,滥,lan,2,3
攔,拦,lan,2,1
懶,懒,lan,2,3
欄,栏,lan,2,1
欖,榄,lan,2,3
蘭,兰,lan,2,1
籃,篮,lan,2,3
藍,蓝,lan,2,3
覽,览,lan,2,3
